Date	H (cm)	date	date from zero
37271.0097	5.8	15/01/2002 00:14	68.3298
37272.5799	7.1	16/01/2002 13:55	69.9
37272.9799	6.1	16/01/2002 23:31	70.3
37274.6799	5.4	18/01/2002 16:19	72
37278	5.2	22/01/2002 00:00	75.3201
37278.3097	6	22/01/2002 07:26	75.6298
37278.3799	8.3	22/01/2002 09:07	75.7
37278.5	9.9	22/01/2002 12:00	75.8201
37279.3396	8.1	23/01/2002 08:09	76.6597
37279.7	8.4	23/01/2002 16:48	77.0201
37279.85	10.5	23/01/2002 20:24	77.1701
37279.95	14	23/01/2002 22:48	77.2701
37279.9896	16.8	23/01/2002 23:45	77.3097
37280.0896	28.1	24/01/2002 02:09	77.4097
37280.1896	32.2	24/01/2002 04:33	77.5097
37280.3299	31.5	24/01/2002 07:55	77.65
37280.6299	24.5	24/01/2002 15:07	77.95
37281.0799	19.7	25/01/2002 01:55	78.4
37281.7299	16.9	25/01/2002 17:31	79.05
37283.15	14.1	27/01/2002 03:36	80.4701
37286.4396	11.2	30/01/2002 10:33	83.7597
37286.5694	11.7	30/01/2002 13:40	83.8895
37289.7799	9.2	02/02/2002 18:43	87.1
37291	9	04/02/2002 00:00	88.3201
37291.1694	10.2	04/02/2002 04:04	88.4895
37291.5396	10.6	04/02/2002 12:57	88.8597
37292.1299	9.4	05/02/2002 03:07	89.45
37292.8799	9.6	05/02/2002 21:07	90.2
37293.1694	13.7	06/02/2002 04:04	90.4895
37293.2799	14.2	06/02/2002 06:43	90.6
37293.5799	13.8	06/02/2002 13:55	90.9
37293.9097	12.1	06/02/2002 21:50	91.2298
37295.45	10.2	08/02/2002 10:48	92.7701
37298	9.2	11/02/2002 00:00	95.3201
37298.4597	9.6	11/02/2002 11:02	95.7798
37298.9299	8.5	11/02/2002 22:19	96.25
37300.0097	8	13/02/2002 00:14	97.3298
37300.6896	8	13/02/2002 16:33	98.0097
37302.8597	8.2	15/02/2002 20:38	100.1798
37303.2896	7.3	16/02/2002 06:57	100.6097
37303.3194	8	16/02/2002 07:40	100.6395
37303.7799	8.2	16/02/2002 18:43	101.1
37303.8799	9.8	16/02/2002 21:07	101.2
