Date	H (cm)	date	date from zero
40486.1299	19.7	04/11/2010 03:07	3283.45
40486.6299	13.3	04/11/2010 15:07	3283.95
40487.6694	4.2	05/11/2010 16:04	3284.9895
40489	-3.5	07/11/2010 00:00	3286.3201
40490.3299	-8.7	08/11/2010 07:55	3287.65
40490.5396	-9	08/11/2010 12:57	3287.8597
40490.75	-7.9	08/11/2010 18:00	3288.0701
40491.4597	-10.9	09/11/2010 11:02	3288.7798
40491.9194	-10.1	09/11/2010 22:04	3289.2395
40491.9896	-10.2	09/11/2010 23:45	3289.3097
40493.6799	-15.3	11/11/2010 16:19	3291
40494.05	-15.2	12/11/2010 01:12	3291.3701
40494.8	-17.1	12/11/2010 19:12	3292.1201
40496.1799	-18.7	14/11/2010 04:19	3293.5
40496.3597	-17.1	14/11/2010 08:38	3293.6798
40496.6299	-12.8	14/11/2010 15:07	3293.95
40496.9	-11.1	14/11/2010 21:36	3294.2201
40496.9694	-9.5	14/11/2010 23:16	3294.2895
40497.0194	-7.3	15/11/2010 00:28	3294.3395
40497.0597	-4.7	15/11/2010 01:26	3294.3798
40497.0896	-1.6	15/11/2010 02:09	3294.4097
40497.1194	3.9	15/11/2010 02:52	3294.4395
40497.2299	26.3	15/11/2010 05:31	3294.55
40497.25	32.2	15/11/2010 06:00	3294.5701
40497.2799	41.8	15/11/2010 06:43	3294.6
40497.3	45	15/11/2010 07:12	3294.6201
40497.3194	47.9	15/11/2010 07:40	3294.6395
40497.3396	50.5	15/11/2010 08:09	3294.6597
40497.3896	56.7	15/11/2010 09:21	3294.7097
40497.4194	57.9	15/11/2010 10:04	3294.7395
40497.4597	56.8	15/11/2010 11:02	3294.7798
40497.5396	53	15/11/2010 12:57	3294.8597
40497.7299	40	15/11/2010 17:31	3295.05
40497.8694	34.4	15/11/2010 20:52	3295.1895
40498.0896	29	16/11/2010 02:09	3295.4097
40498.55	22.6	16/11/2010 13:12	3295.8701
40498.6	22.8	16/11/2010 14:24	3295.9201
40498.6896	21.4	16/11/2010 16:33	3296.0097
40499.5097	14.1	17/11/2010 12:14	3296.8298
40500.0299	10.9	18/11/2010 00:43	3297.35
40500.4097	7.4	18/11/2010 09:50	3297.7298
40500.9194	4.1	18/11/2010 22:04	3298.2395
40501.9299	-1.3	19/11/2010 22:19	3299.25
40502.0597	-1.7	20/11/2010 01:26	3299.3798
40502.2694	-0.3	20/11/2010 06:28	3299.5895
40502.45	2.3	20/11/2010 10:48	3299.7701
40502.5097	4.5	20/11/2010 12:14	3299.8298
40502.55	7	20/11/2010 13:12	3299.8701
40502.5799	11.3	20/11/2010 13:55	3299.9
40502.6299	18.7	20/11/2010 15:07	3299.95
40502.65	25.5	20/11/2010 15:36	3299.9701
40502.7299	47.3	20/11/2010 17:31	3300.05
40502.8	71.8	20/11/2010 19:12	3300.1201
40502.85	89.6	20/11/2010 20:24	3300.1701
40502.8597	92	20/11/2010 20:38	3300.1798
40502.8694	92.7	20/11/2010 20:52	3300.1895
40502.8896	90	20/11/2010 21:21	3300.2097
40502.9194	84.4	20/11/2010 22:04	3300.2395
40502.95	77.7	20/11/2010 22:48	3300.2701
40502.9799	72.1	20/11/2010 23:31	3300.3
40503.0194	65.5	21/11/2010 00:28	3300.3395
40503.1097	57.9	21/11/2010 02:38	3300.4298
40503.2	51.9	21/11/2010 04:48	3300.5201
40503.35	45.2	21/11/2010 08:24	3300.6701
40503.45	43.2	21/11/2010 10:48	3300.7701
40503.5799	42.6	21/11/2010 13:55	3300.9
40503.6597	40.6	21/11/2010 15:50	3300.9798
40503.7	40.4	21/11/2010 16:48	3301.0201
40503.7396	39	21/11/2010 17:45	3301.0597
40504.1694	32.3	22/11/2010 04:04	3301.4895
40505.1097	21.4	23/11/2010 02:38	3302.4298
40506.5	8.7	24/11/2010 12:00	3303.8201
40507.25	3.8	25/11/2010 06:00	3304.5701
40507.8299	1.5	25/11/2010 19:55	3305.15
40508.5799	-3	26/11/2010 13:55	3305.9
40509.95	-8.1	27/11/2010 22:48	3307.2701
40511.8299	-13.5	29/11/2010 19:55	3309.15
40512.5194	-14.8	30/11/2010 12:28	3309.8395
40512.95	-14.1	30/11/2010 22:48	3310.2701
40512.9597	-14	30/11/2010 23:02	3310.2798
40513	-14	01/12/2010 00:00	3310.3201
40513.6694	-14.8	01/12/2010 16:04	3310.9895
40515.3299	-18.4	03/12/2010 07:55	3312.65
40516.2597	-19.1	04/12/2010 06:14	3313.5798
40517.2194	-20.4	05/12/2010 05:16	3314.5395
40517.4396	-17.8	05/12/2010 10:33	3314.7597
40517.9299	-13.3	05/12/2010 22:19	3315.25
40518.6396	-2.2	06/12/2010 15:21	3315.9597
40518.9097	-0.2	06/12/2010 21:50	3316.2298
40519.6694	0.8	07/12/2010 16:04	3316.9895
40520.9097	0.7	08/12/2010 21:50	3318.2298
40522.25	-1.3	10/12/2010 06:00	3319.5701
40527.6097	-14.6	15/12/2010 14:38	3324.9298
40529.3194	-17.7	17/12/2010 07:40	3326.6395
40531.6097	-20.2	19/12/2010 14:38	3328.9298
40532.5194	-20.4	20/12/2010 12:28	3329.8395
40532.9396	-2.6	20/12/2010 22:33	3330.2597
40533.1597	1.1	21/12/2010 03:50	3330.4798
40534.3299	30	22/12/2010 07:55	3331.65
40534.3799	29.5	22/12/2010 09:07	3331.7
40534.4799	34.9	22/12/2010 11:31	3331.8
40534.5194	38.9	22/12/2010 12:28	3331.8395
40534.5694	45.2	22/12/2010 13:40	3331.8895
40534.65	59.7	22/12/2010 15:36	3331.9701
40534.6799	65.1	22/12/2010 16:19	3332
40534.7194	75.5	22/12/2010 17:16	3332.0395
40534.7799	92.2	22/12/2010 18:43	3332.1
40534.8097	105	22/12/2010 19:26	3332.1298
40534.8299	114	22/12/2010 19:55	3332.15
40534.8597	125	22/12/2010 20:38	3332.1798
40534.8799	129	22/12/2010 21:07	3332.2
40534.9896	130	22/12/2010 23:45	3332.3097
40535.0097	132	23/12/2010 00:14	3332.3298
40535.0299	134	23/12/2010 00:43	3332.35
40535.05	139	23/12/2010 01:12	3332.3701
40535.0896	149	23/12/2010 02:09	3332.4097
40535.1694	176	23/12/2010 04:04	3332.4895
40535.1896	178	23/12/2010 04:33	3332.5097
40535.2	178	23/12/2010 04:48	3332.5201
40535.2396	172	23/12/2010 05:45	3332.5597
40535.2799	167	23/12/2010 06:43	3332.6
40535.3299	158	23/12/2010 07:55	3332.65
40535.35	156	23/12/2010 08:24	3332.6701
40535.3597	156	23/12/2010 08:38	3332.6798
40535.3799	156	23/12/2010 09:07	3332.7
40535.4097	161	23/12/2010 09:50	3332.7298
40535.4597	162	23/12/2010 11:02	3332.7798
40535.5	166	23/12/2010 12:00	3332.8201
40535.5194	169	23/12/2010 12:28	3332.8395
40535.5799	172	23/12/2010 13:55	3332.9
40535.6097	177	23/12/2010 14:38	3332.9298
40535.6694	187	23/12/2010 16:04	3332.9895
40535.6896	189	23/12/2010 16:33	3333.0097
40535.7	189	23/12/2010 16:48	3333.0201
40535.7194	185	23/12/2010 17:16	3333.0395
40535.7396	179	23/12/2010 17:45	3333.0597
40535.8299	160	23/12/2010 19:55	3333.15
40535.9097	146	23/12/2010 21:50	3333.2298
40535.95	141	23/12/2010 22:48	3333.2701
40536.15	122	24/12/2010 03:36	3333.4701
40536.2799	110	24/12/2010 06:43	3333.6
40536.4396	99	24/12/2010 10:33	3333.7597
40536.55	91.7	24/12/2010 13:12	3333.8701
40536.7	83.2	24/12/2010 16:48	3334.0201
40536.9396	72	24/12/2010 22:33	3334.2597
40537.3097	58.1	25/12/2010 07:26	3334.6298
40537.8194	43.7	25/12/2010 19:40	3335.1395
40538.45	31	26/12/2010 10:48	3335.7701
40538.9	24.6	26/12/2010 21:36	3336.2201
40539.3396	19.8	27/12/2010 08:09	3336.6597
40540.3896	10.8	28/12/2010 09:21	3337.7097
40541.9	2.1	29/12/2010 21:36	3339.2201
40543.95	-5.8	31/12/2010 22:48	3341.2701
40544	-5.9	01/01/2011 00:00	3341.3201
40546.45	-13.2	03/01/2011 10:48	3343.7701
40548.2194	-16.1	05/01/2011 05:16	3345.5395
40548.9097	-17	05/01/2011 21:50	3346.2298
40549.7	-17.7	06/01/2011 16:48	3347.0201
40550.1097	-17.4	07/01/2011 02:38	3347.4298
40550.1194	-17.2	07/01/2011 02:52	3347.4395
40550.4299	-9.3	07/01/2011 10:19	3347.75
40550.5194	-5.6	07/01/2011 12:28	3347.8395
40550.6597	2.5	07/01/2011 15:50	3347.9798
40550.7396	6.8	07/01/2011 17:45	3348.0597
40550.85	10.7	07/01/2011 20:24	3348.1701
40550.9194	12.2	07/01/2011 22:04	3348.2395
40551.0299	12.8	08/01/2011 00:43	3348.35
40551.1694	16.1	08/01/2011 04:04	3348.4895
40551.2694	16	08/01/2011 06:28	3348.5895
40551.5896	10.5	08/01/2011 14:09	3348.9097
40551.9194	7.7	08/01/2011 22:04	3349.2395
40552.0896	7.8	09/01/2011 02:09	3349.4097
40552.2799	9.9	09/01/2011 06:43	3349.6
40552.35	11.6	09/01/2011 08:24	3349.6701
40552.3799	13.6	09/01/2011 09:07	3349.7
40552.4	15.8	09/01/2011 09:36	3349.7201
40552.4299	20.3	09/01/2011 10:19	3349.75
40552.4597	25.6	09/01/2011 11:02	3349.7798
40552.4799	30.8	09/01/2011 11:31	3349.8
40552.4896	36.9	09/01/2011 11:45	3349.8097
40552.5097	46.5	09/01/2011 12:14	3349.8298
40552.5299	65	09/01/2011 12:43	3349.85
40552.55	70	09/01/2011 13:12	3349.8701
40552.5597	72.1	09/01/2011 13:26	3349.8798
40552.5799	73.7	09/01/2011 13:55	3349.9
40552.6299	70.9	09/01/2011 15:07	3349.95
40552.7299	57.7	09/01/2011 17:31	3350.05
40552.75	56.7	09/01/2011 18:00	3350.0701
40552.8	51.7	09/01/2011 19:12	3350.1201
40552.8896	46.8	09/01/2011 21:21	3350.2097
40553	42.3	10/01/2011 00:00	3350.3201
40553.1097	39.3	10/01/2011 02:38	3350.4298
40553.3194	35.8	10/01/2011 07:40	3350.6395
40553.4	35.3	10/01/2011 09:36	3350.7201
40553.4597	33.6	10/01/2011 11:02	3350.7798
40553.5	33.8	10/01/2011 12:00	3350.8201
40553.5299	32.7	10/01/2011 12:43	3350.85
40553.6799	31.3	10/01/2011 16:19	3351
40554.1	25.5	11/01/2011 02:24	3351.4201
40554.5396	20.8	11/01/2011 12:57	3351.8597
40555.5597	11	12/01/2011 13:26	3352.8798
40556.4896	4.8	13/01/2011 11:45	3353.8097
40557.3799	0.4	14/01/2011 09:07	3354.7
40559.2799	-7.1	16/01/2011 06:43	3356.6
40561.0896	-11.9	18/01/2011 02:09	3358.4097
40563.3	-16.7	20/01/2011 07:12	3360.6201
40565.9694	-20.4	22/01/2011 23:16	3363.2895
40566.5694	-22.1	23/01/2011 13:40	3363.8895
40566.8194	-21.5	23/01/2011 19:40	3364.1395
40567.4194	-22.7	24/01/2011 10:04	3364.7395
40567.8799	-22.4	24/01/2011 21:07	3365.2
40571.5	-25.9	28/01/2011 12:00	3368.8201
40572.6799	-26.6	29/01/2011 16:19	3370
40573.0097	-26.1	30/01/2011 00:14	3370.3298
40574.95	-27.9	31/01/2011 22:48	3372.2701
40574.9597	-28.1	31/01/2011 23:02	3372.2798
40575	-28.1	01/02/2011 00:00	3372.3201
40576.2	-29	02/02/2011 04:48	3373.5201
40576.6396	-30.2	02/02/2011 15:21	3373.9597
40576.95	-29.1	02/02/2011 22:48	3374.2701
40577.3396	-30.1	03/02/2011 08:09	3374.6597
40578.1799	-29.6	04/02/2011 04:19	3375.5
40584.1896	-32.5	10/02/2011 04:33	3381.5097
40587.9	-33.1	13/02/2011 21:36	3385.2201
40588.0799	-32.3	14/02/2011 01:55	3385.4
40588.1694	-31.1	14/02/2011 04:04	3385.4895
40588.2597	-28	14/02/2011 06:14	3385.5798
40588.3	-25.6	14/02/2011 07:12	3385.6201
40588.3194	-23.7	14/02/2011 07:40	3385.6395
40588.4	-8.5	14/02/2011 09:36	3385.7201
40588.4299	-4.5	14/02/2011 10:19	3385.75
40588.5	0.5	14/02/2011 12:00	3385.8201
40588.55	2.5	14/02/2011 13:12	3385.8701
40588.8896	-6.8	14/02/2011 21:21	3386.2097
40589.0799	-10.2	15/02/2011 01:55	3386.4
40589.3	-12.9	15/02/2011 07:12	3386.6201
40589.8597	-16.6	15/02/2011 20:38	3387.1798
40590.8799	-19.3	16/02/2011 21:07	3388.2
40591.35	-19.7	17/02/2011 08:24	3388.6701
40591.4799	-16.8	17/02/2011 11:31	3388.8
40591.6	-16	17/02/2011 14:24	3388.9201
40591.8799	-17.7	17/02/2011 21:07	3389.2
40592.3694	-19.1	18/02/2011 08:52	3389.6895
40595.4097	-22.2	21/02/2011 09:50	3392.7298
40595.9597	-22.4	21/02/2011 23:02	3393.2798
40596.2194	-21.2	22/02/2011 05:16	3393.5395
40596.6299	-22.3	22/02/2011 15:07	3393.95
40597.7799	-23.7	23/02/2011 18:43	3395.1
40600.5896	-24.2	26/02/2011 14:09	3397.9097
40602.9194	-26.2	28/02/2011 22:04	3400.2395
40603	-26.2	01/03/2011 00:00	3400.3201
40613.1396	-30.9	11/03/2011 03:21	3410.4597
40614.4194	-31.1	12/03/2011 10:04	3411.7395
40614.7	-30.4	12/03/2011 16:48	3412.0201
40614.8896	-27.7	12/03/2011 21:21	3412.2097
40615.0299	-21.3	13/03/2011 00:43	3412.35
40615.0799	-17.4	13/03/2011 01:55	3412.4
40615.1097	-14	13/03/2011 02:38	3412.4298
40615.1597	-4.5	13/03/2011 03:50	3412.4798
40615.2194	6.9	13/03/2011 05:16	3412.5395
40615.2799	24.6	13/03/2011 06:43	3412.6
40615.3396	34.9	13/03/2011 08:09	3412.6597
40615.4194	44.9	13/03/2011 10:04	3412.7395
40615.4597	46.8	13/03/2011 11:02	3412.7798
40615.5299	53.9	13/03/2011 12:43	3412.85
40615.5799	56.2	13/03/2011 13:55	3412.9
40615.6194	60.8	13/03/2011 14:52	3412.9395
40615.6694	62	13/03/2011 16:04	3412.9895
40615.7097	60.3	13/03/2011 17:02	3413.0298
40615.75	54.6	13/03/2011 18:00	3413.0701
40615.8799	43	13/03/2011 21:07	3413.2
40615.9194	40.3	13/03/2011 22:04	3413.2395
40616.1396	32.3	14/03/2011 03:21	3413.4597
40616.1396	32.5	14/03/2011 03:21	3413.4597
40616.2299	30	14/03/2011 05:31	3413.55
40616.3396	29.2	14/03/2011 08:09	3413.6597
40616.4896	33.1	14/03/2011 11:45	3413.8097
40616.7194	29.4	14/03/2011 17:16	3414.0395
40616.7799	29.3	14/03/2011 18:43	3414.1
40616.8097	30.1	14/03/2011 19:26	3414.1298
40616.85	33	14/03/2011 20:24	3414.1701
40616.8799	35.6	14/03/2011 21:07	3414.2
40616.9396	43.1	14/03/2011 22:33	3414.2597
40616.9799	46.2	14/03/2011 23:31	3414.3
40617.0396	45.6	15/03/2011 00:57	3414.3597
40617.1694	39.2	15/03/2011 04:04	3414.4895
40617.2396	39.1	15/03/2011 05:45	3414.5597
40617.2896	42	15/03/2011 06:57	3414.6097
40617.35	48.6	15/03/2011 08:24	3414.6701
40617.4194	52.7	15/03/2011 10:04	3414.7395
40617.4597	54.1	15/03/2011 11:02	3414.7798
40617.4896	53.9	15/03/2011 11:45	3414.8097
40617.55	57.5	15/03/2011 13:12	3414.8701
40617.6299	66	15/03/2011 15:07	3414.95
40617.6597	68.3	15/03/2011 15:50	3414.9798
40617.6896	71.7	15/03/2011 16:33	3415.0097
40617.7299	73.1	15/03/2011 17:31	3415.05
40617.7799	72.3	15/03/2011 18:43	3415.1
40617.8	73.7	15/03/2011 19:12	3415.1201
40617.85	73.7	15/03/2011 20:24	3415.1701
40617.9299	77.8	15/03/2011 22:19	3415.25
40617.9396	77.8	15/03/2011 22:33	3415.2597
40618	81.1	16/03/2011 00:00	3415.3201
40618.05	82	16/03/2011 01:12	3415.3701
40618.1	84.3	16/03/2011 02:24	3415.4201
40618.1396	87.2	16/03/2011 03:21	3415.4597
40618.1694	91.3	16/03/2011 04:04	3415.4895
40618.2097	95.2	16/03/2011 05:02	3415.5298
40618.25	101	16/03/2011 06:00	3415.5701
40618.2896	103	16/03/2011 06:57	3415.6097
40618.3396	101	16/03/2011 08:09	3415.6597
40618.3896	96	16/03/2011 09:21	3415.7097
40618.45	91.3	16/03/2011 10:48	3415.7701
40618.4694	91.1	16/03/2011 11:16	3415.7895
40618.4896	89.3	16/03/2011 11:45	3415.8097
40618.5396	86.8	16/03/2011 12:57	3415.8597
40618.5597	85	16/03/2011 13:26	3415.8798
40618.6396	82.1	16/03/2011 15:21	3415.9597
40618.6694	79.8	16/03/2011 16:04	3415.9895
40618.6896	79.8	16/03/2011 16:33	3416.0097
40618.7396	77	16/03/2011 17:45	3416.0597
40618.7694	76.6	16/03/2011 18:28	3416.0895
40618.8896	71.6	16/03/2011 21:21	3416.2097
40618.9097	71.7	16/03/2011 21:50	3416.2298
40618.9194	70.4	16/03/2011 22:04	3416.2395
40618.9799	69.4	16/03/2011 23:31	3416.3
40619.0299	66.9	17/03/2011 00:43	3416.35
40619.0896	66.2	17/03/2011 02:09	3416.4097
40619.1299	63.9	17/03/2011 03:07	3416.45
40619.1694	63.3	17/03/2011 04:04	3416.4895
40619.3	59.1	17/03/2011 07:12	3416.6201
40619.4	56.8	17/03/2011 09:36	3416.7201
40619.4194	55.4	17/03/2011 10:04	3416.7395
40619.5396	52.9	17/03/2011 12:57	3416.8597
40619.6299	49.9	17/03/2011 15:07	3416.95
40619.9694	41.4	17/03/2011 23:16	3417.2895
40620.45	32	18/03/2011 10:48	3417.7701
40621.2396	20.9	19/03/2011 05:45	3418.5597
40621.2597	21.3	19/03/2011 06:14	3418.5798
40621.2799	20.5	19/03/2011 06:43	3418.6
40621.3597	20.2	19/03/2011 08:38	3418.6798
40621.8396	14.8	19/03/2011 20:09	3419.1597
40622.5896	8.2	20/03/2011 14:09	3419.9097
40623.6097	1.7	21/03/2011 14:38	3420.9298
40624.7194	-3.6	22/03/2011 17:16	3422.0395
40626.0194	-8.4	24/03/2011 00:28	3423.3395
40627.9097	-13.4	25/03/2011 21:50	3425.2298
40629.4194	-15.9	27/03/2011 10:04	3426.7395
40629.5597	-14.4	27/03/2011 13:26	3426.8798
40629.6396	-12.7	27/03/2011 15:21	3426.9597
40629.6896	-10.5	27/03/2011 16:33	3427.0097
40629.7694	-3.8	27/03/2011 18:28	3427.0895
40629.85	-1.6	27/03/2011 20:24	3427.1701
40629.9396	-2.4	27/03/2011 22:33	3427.2597
40630.1097	-6.9	28/03/2011 02:38	3427.4298
40630.2299	-8.8	28/03/2011 05:31	3427.55
40630.7194	-12	28/03/2011 17:16	3428.0395
40632.1299	-15.2	30/03/2011 03:07	3429.45
40633.9097	-17.3	31/03/2011 21:50	3431.2298
40634	-17.4	01/04/2011 00:00	3431.3201
40641.5194	-24.4	08/04/2011 12:28	3438.8395
40645.85	-27.7	12/04/2011 20:24	3443.1701
40650.9194	-30.6	17/04/2011 22:04	3448.2395
40651.1799	-30.8	18/04/2011 04:19	3448.5
40651.45	-30.6	18/04/2011 10:48	3448.7701
40652.1097	-31.3	19/04/2011 02:38	3449.4298
40652.4799	-31	19/04/2011 11:31	3449.8
40653.1597	-31.8	20/04/2011 03:50	3450.4798
40654.45	-31.2	21/04/2011 10:48	3451.7701
40654.9896	-31.9	21/04/2011 23:45	3452.3097
40655.45	-31.7	22/04/2011 10:48	3452.7701
40655.8097	-32.3	22/04/2011 19:26	3453.1298
40656.1097	-32.4	23/04/2011 02:38	3453.4298
40656.85	-30.7	23/04/2011 20:24	3454.1701
40657.3	-29.8	24/04/2011 07:12	3454.6201
40657.6194	-30.8	24/04/2011 14:52	3454.9395
40658.2097	-29.6	25/04/2011 05:02	3455.5298
40658.5	-30.6	25/04/2011 12:00	3455.8201
40658.55	-31	25/04/2011 13:12	3455.8701
40658.9896	-31.8	25/04/2011 23:45	3456.3097
40659.4097	-31.9	26/04/2011 09:50	3456.7298
40660.0097	-32.6	27/04/2011 00:14	3457.3298
40661.1	-33.1	28/04/2011 02:24	3458.4201
40661.4194	-32.9	28/04/2011 10:04	3458.7395
40662.05	-33.3	29/04/2011 01:12	3459.3701
40662.5299	-33	29/04/2011 12:43	3459.85
40663.0799	-33.4	30/04/2011 01:55	3460.4
40663.4194	-33.3	30/04/2011 10:04	3460.7395
40663.9396	-33.9	30/04/2011 22:33	3461.2597
40664	-33.9	01/05/2011 00:00	3461.3201
40664.5597	-33.9	01/05/2011 13:26	3461.8798
40664.9097	-34.4	01/05/2011 21:50	3462.2298
40665.75	-34.3	02/05/2011 18:00	3463.0701
40666.05	-34.7	03/05/2011 01:12	3463.3701
40667.3097	-34.7	04/05/2011 07:26	3464.6298
40668.0194	-35.7	05/05/2011 00:28	3465.3395
40668.4194	-35.3	05/05/2011 10:04	3465.7395
40669.0194	-35.8	06/05/2011 00:28	3466.3395
40669.5	-35.4	06/05/2011 12:00	3466.8201
40670.1597	-35.9	07/05/2011 03:50	3467.4798
40670.4896	-35.6	07/05/2011 11:45	3467.8097
40670.7097	-36.1	07/05/2011 17:02	3468.0298
40671.15	-36.4	08/05/2011 03:36	3468.4701
40671.55	-36.1	08/05/2011 13:12	3468.8701
40671.6299	-36.4	08/05/2011 15:07	3468.95
40671.95	-36.7	08/05/2011 22:48	3469.2701
40672.4396	-36.5	09/05/2011 10:33	3469.7597
40672.7597	-37	09/05/2011 18:14	3470.0798
40673.1896	-37	10/05/2011 04:33	3470.5097
40673.6194	-36.8	10/05/2011 14:52	3470.9395
40674.1896	-37.3	11/05/2011 04:33	3471.5097
40674.5	-36.9	11/05/2011 12:00	3471.8201
40675.1194	-37.2	12/05/2011 02:52	3472.4395
40675.2299	-35.5	12/05/2011 05:31	3472.55
40675.7299	-37.1	12/05/2011 17:31	3473.05
40675.8194	-36.9	12/05/2011 19:40	3473.1395
40676.2597	-37.6	13/05/2011 06:14	3473.5798
40676.5097	-37.3	13/05/2011 12:14	3473.8298
40676.8799	-38.1	13/05/2011 21:07	3474.2
40677.2799	-38.1	14/05/2011 06:43	3474.6
40677.35	-37.8	14/05/2011 08:24	3474.6701
40677.4097	-37.1	14/05/2011 09:50	3474.7298
40677.5694	-36.9	14/05/2011 13:40	3474.8895
40677.95	-37.3	14/05/2011 22:48	3475.2701
40678.3597	-37.2	15/05/2011 08:38	3475.6798
40679.25	-38.5	16/05/2011 06:00	3476.5701
40679.4396	-38.4	16/05/2011 10:33	3476.7597
40679.9597	-38.9	16/05/2011 23:02	3477.2798
40680.4597	-38.5	17/05/2011 11:02	3477.7798
40681.3396	-39	18/05/2011 08:09	3478.6597
40681.4	-39	18/05/2011 09:36	3478.7201
40681.6299	-39.4	18/05/2011 15:07	3478.95
40681.9194	-39.2	18/05/2011 22:04	3479.2395
40682.0896	-39.3	19/05/2011 02:09	3479.4097
40682.4396	-39.1	19/05/2011 10:33	3479.7597
40682.8799	-39.8	19/05/2011 21:07	3480.2
40683.15	-39.5	20/05/2011 03:36	3480.4701
40683.2396	-39.8	20/05/2011 05:45	3480.5597
40683.4	-39.7	20/05/2011 09:36	3480.7201
40683.4396	-39.5	20/05/2011 10:33	3480.7597
40683.4694	-38.9	20/05/2011 11:16	3480.7895
40683.5	-38.6	20/05/2011 12:00	3480.8201
40683.5194	-38.9	20/05/2011 12:28	3480.8395
40683.6	-39.4	20/05/2011 14:24	3480.9201
40683.8597	-39.8	20/05/2011 20:38	3481.1798
40683.9	-39.7	20/05/2011 21:36	3481.2201
40683.9097	-39.3	20/05/2011 21:50	3481.2298
40683.9194	-39.2	20/05/2011 22:04	3481.2395
40683.9597	-36.1	20/05/2011 23:02	3481.2798
40684.05	-35.8	21/05/2011 01:12	3481.3701
40684.8299	-39	21/05/2011 19:55	3482.15
40685.2	-39.3	22/05/2011 04:48	3482.5201
40685.6	-38.5	22/05/2011 14:24	3482.9201
40685.9896	-39.7	22/05/2011 23:45	3483.3097
40687.5194	-40.1	24/05/2011 12:28	3484.8395
40687.55	-40.8	24/05/2011 13:12	3484.8701
40688.5597	-40.4	25/05/2011 13:26	3485.8798
40688.8799	-41.5	25/05/2011 21:07	3486.2
40693.9396	-42.6	30/05/2011 22:33	3491.2597
40694.3	-42.4	31/05/2011 07:12	3491.6201
40694.6396	-41.2	31/05/2011 15:21	3491.9597
40694.9097	-41.5	31/05/2011 21:50	3492.2298
40695	-41.5	01/06/2011 00:00	3492.3201
40695.9097	-41.2	01/06/2011 21:50	3493.2298
40696.9194	-41.6	02/06/2011 22:04	3494.2395
40697.4799	-41.3	03/06/2011 11:31	3494.8
40698.4	-41.8	04/06/2011 09:36	3495.7201
40699.0097	-41.1	05/06/2011 00:14	3496.3298
40699.55	-39.8	05/06/2011 13:12	3496.8701
40700	-40.1	06/06/2011 00:00	3497.3201
40700.8299	-41.8	06/06/2011 19:55	3498.15
40703.55	-42.7	09/06/2011 13:12	3500.8701
40705.4299	-43.1	11/06/2011 10:19	3502.75
40706.8694	-43.8	12/06/2011 20:52	3504.1895
40707.3396	-43.5	13/06/2011 08:09	3504.6597
40707.4194	-43	13/06/2011 10:04	3504.7395
40707.6	-40.8	13/06/2011 14:24	3504.9201
40707.7194	-39.9	13/06/2011 17:16	3505.0395
40707.8896	-41.2	13/06/2011 21:21	3505.2097
40707.9194	-41	13/06/2011 22:04	3505.2395
40708.2097	-41.6	14/06/2011 05:02	3505.5298
40708.5694	-42	14/06/2011 13:40	3505.8895
40708.9597	-42.5	14/06/2011 23:02	3506.2798
40709.1299	-42.7	15/06/2011 03:07	3506.45
40709.5597	-43.1	15/06/2011 13:26	3506.8798
40709.7597	-43.2	15/06/2011 18:14	3507.0798
40710.0896	-43.5	16/06/2011 02:09	3507.4097
40710.1396	-43.5	16/06/2011 03:21	3507.4597
40710.4799	-43.2	16/06/2011 11:31	3507.8
40710.5396	-43.1	16/06/2011 12:57	3507.8597
40710.6694	-42.7	16/06/2011 16:04	3507.9895
40710.8799	-42.7	16/06/2011 21:07	3508.2
40711.0896	-42.8	17/06/2011 02:09	3508.4097
40711.2	-42.8	17/06/2011 04:48	3508.5201
40711.2694	-42.9	17/06/2011 06:28	3508.5895
40711.4799	-43	17/06/2011 11:31	3508.8
40711.8194	-43.1	17/06/2011 19:40	3509.1395
40711.9299	-43.2	17/06/2011 22:19	3509.25
40711.9896	-43.2	17/06/2011 23:45	3509.3097
40712.1097	-42.9	18/06/2011 02:38	3509.4298
40712.3896	-42.3	18/06/2011 09:21	3509.7097
40712.4194	-42.2	18/06/2011 10:04	3509.7395
40712.5597	-42.2	18/06/2011 13:26	3509.8798
40712.6896	-42.2	18/06/2011 16:33	3510.0097
40712.7896	-42.4	18/06/2011 18:57	3510.1097
40713.0194	-42.6	19/06/2011 00:28	3510.3395
40713.2896	-43	19/06/2011 06:57	3510.6097
40713.5	-43.2	19/06/2011 12:00	3510.8201
40713.7896	-43.5	19/06/2011 18:57	3511.1097
40714.1597	-43.8	20/06/2011 03:50	3511.4798
40714.5194	-44.1	20/06/2011 12:28	3511.8395
40714.7396	-44.2	20/06/2011 17:45	3512.0597
40715.0896	-44.4	21/06/2011 02:09	3512.4097
40715.2799	-44.5	21/06/2011 06:43	3512.6
40715.5097	-44.4	21/06/2011 12:14	3512.8298
40715.6694	-44.7	21/06/2011 16:04	3512.9895
40715.8	-44.8	21/06/2011 19:12	3513.1201
40716.0299	-44.9	22/06/2011 00:43	3513.35
40716.3097	-45	22/06/2011 07:26	3513.6298
40716.6	-45.1	22/06/2011 14:24	3513.9201
40716.6396	-45.1	22/06/2011 15:21	3513.9597
40717.0194	-45	23/06/2011 00:28	3514.3395
40717.4097	-45	23/06/2011 09:50	3514.7298
